Label,Notation,Parent Notation,Sort Priority
Isle of Anglesey,512,596,1
Total Local Authorities,596,600,2
Wales,600,0,3
Conwy,516,596,4
Denbighshire,518,596,5
Flintshire,520,596,6
Wrexham,522,596,7
Powys,524,596,8
Pembrokeshire,528,596,9
Carmarthenshire,530,596,10
Swansea,532,596,11
Neath Port Talbot,534,596,12
Bridgend,536,596,13
Vale of Glamorgan,538,596,14
Rhondda Cynon Taf,540,596,15
Merthyr Tydfil,542,596,16
Caerphilly,544,596,17
Blaenau Gwent,545,596,18
Torfaen,546,596,19
Monmouthshire,548,596,20
Newport,550,596,21
Cardiff,552,596,22
Total Registered Social Landlords,592,600,23
Bangor Diocesan Housing Association,906,592,24
Clwyd Alyn Housing Association,921,592,25
Cymdeithas Tai Eryri,928,592,26
North Wales Housing Association,967,592,27
Abbeyfield Wales,983,3000,28
Wales and West Housing,995,592,29
Abbeyfield Total,3000,592,30
Gwynedd,514,596,31
Abbeyfield Bangor/UCNW,907,3000,32
Grwp Cynefin,925,592,33
Hafan Cymru,929,592,34
Abbeyfield Dolgellau,931,3000,35
Gwalia Housing,940,592,36
Polish Housing Society,970,592,37
Tai Charles Jones,990,3001,38
Almshouse total,3001,592,39
Abbeyfield Abergele and District,902,3000,40
Abbeyfield Borough of Conway,909,3000,41
Abbeyfield Colwyn Bay,922,3000,42
First Choice Housing Association,936,592,43
Abbeyfield Llandudno,954,3000,44
Abbeyfield Llanfairfechan and Penmaenmawr,955,3000,45
Abbeyfield Llanrwst,957,3000,46
Cartrefi Conwy,1026,592,47
Abbeyfield Rhyl,976,3000,48
The Goodman and Ruthin Charity,991,3001,49
Abbeyfield Flint,935,3000,50
Abbeyfield Mold,962,3000,51
Ruabon Almshouse,978,3001,52
Abbeyfield Wrexham,996,3000,53
Abbeyfield Brecon,910,3000,54
Cymdeithas Tai Cantref,923,592,55
Linc Cymru,937,592,56
Mid Wales Housing Association,961,592,57
Newydd Housing Association,966,592,58
Melin Homes,1020,592,59
Ceredigion,526,596,60
Saint David's Diocesan Housing Association,986,592,61
Bro Myrddin Housing Association,912,592,62
Ateb Group,969,592,63
Coastal Housing Group,1024,592,64
Aelwyd Housing Association,904,592,65
Castle Housing Association (Wales),919,592,66
Family Housing Association (Wales),934,592,67
Letitia Cornwallis Almshouses,952,3001,68
Abbeyfield Llandeilo,953,3000,69
Soroptimist Housing Association (Carmarthen),981,592,70
Gwynfyd Housing Co-Operative,947,592,71
Llewellyn Almshouses,958,3001,72
United Welsh Housing Association,994,592,73
Gwalia (Rest Bay Co-Ownership Equity Sharing) Housing Association,943,592,74
Hafod Care Housing Association,948,592,75
Hafod Housing Association,949,592,76
Valleys to Coast Housing,1012,592,77
Fairlake Properties,1016,592,78
Rhondda Housing Association,975,592,79
Trivallis,1021,592,80
Cynon-Taf Community Housing Group,1022,592,81
Merthyr Tydfil Housing Association,960,592,82
Merthyr Valleys Homes,1028,592,83
Cadwyn Housing Association,914,592,84
Abbeyfield Caerphilly,915,3000,85
Charter Housing Association,920,592,86
Fairlake Living,945,592,87
Bron Afon Community Housing,1025,592,88
Henry Burtons Almshouses,951,3001,89
Rachel Herbert Almshouses,974,3001,90
Monmouthshire Housing,1023,592,91
Baneswell Housing Association,905,592,92
Roger Williams and Queen Victoria Memorial Almshouses,977,3001,93
Derwen,1007,592,94
Newport City Homes,1027,592,95
Cardiff Community Housing Association,917,592,96
Cardiff YMCA Housing Association,918,592,97
Slocombe Cottages for the Aged and Infirm,980,3001,98
Taff Housing Association,989,592,99
Tai Ceredigion,1029,592,100
Cartrefi Cymunedol Gwynedd,1030,592,101
Tai Tarian,1032,592,102
Tai Calon Community Housing,1031,592,103
Pobl Living,1034,592,104
Care and Repair in Powys,1018,592,105
Mill Bay Homes Ltd,968,592,106
Ty Glas Housing Society,993,592,107
Gwerin (Cymru) Housing Association,946,592,108
Newtown Housing Association,965,592,109
Dewi Sant Housing Association,927,592,110
Soroptimist Housing Association (Tenby and District),982,592,111
Swansea Housing Association,988,592,112
Cynon Taf Housing Association,930,592,113
Pontypridd and District Housing Association,971,592,114
Eastern Valley Housing Association,932,592,115
Young Womens' Housing Association,997,592,116
